name,mode,audio_method,visual_method,accuracy,auc,eer,f1,precision,recall
01_audio_only_handcrafted,audio_only,handcrafted,landmarks,0.9323447636700649,0.9273582121020453,0.14955091714104998,0.9644999189495866,0.9893581642833389,0.9408602150537635
02_audio_only_wav2vec2,audio_only,wav2vec2,landmarks,0.9616929255483473,0.9121526460046385,0.19993674889310561,0.9802232854864433,0.9887387387387387,0.971853257432005
03_audio_only_hubert,audio_only,hubert,landmarks,0.9518072289156626,0.9074214632089395,0.20009487666034156,0.9749919846104521,0.9886215864759428,0.9617330803289058
04_video_only_landmarks,video_only,wav2vec2,landmarks,0.9765214704973741,0.571180687328695,0.4294939911448451,0.9881212879024696,0.9768232385661311,0.9996837444655281
06_early_handcrafted_landmarks,early_fusion,handcrafted,landmarks,0.9586036453506332,0.9321737297069365,0.16159392789373817,0.97856,0.9902849740932642,0.9671094244149273
08_early_wav2vec2_landmarks,early_fusion,wav2vec2,landmarks,0.9768303985171455,0.7697343453510437,0.290246679316888,0.9882794186591655,0.9768303985171455,1.0
10_early_hubert_landmarks,early_fusion,hubert,landmarks,0.9768303985171455,0.6983069787054608,0.3984503478810879,0.9882794186591655,0.9768303985171455,1.0
12_late_handcrafted_landmarks,late_fusion,handcrafted,landmarks,0.9765214704973741,0.9254880877082017,0.15732447817836814,0.9881212879024696,0.9768232385661311,0.9996837444655281
14_late_wav2vec2_landmarks,late_fusion,wav2vec2,landmarks,0.9759036144578314,0.8895698924731182,0.1894750158127767,0.9877704609595485,0.9794776119402985,0.9962049335863378
16_late_hubert_landmarks,late_fusion,hubert,landmarks,0.9765214704973741,0.8723571579169302,0.18488931056293484,0.9880465555206039,0.9827909887359199,0.9933586337760911
